Год,Топливо,Производство (добыча) первичной энергии с учетом запасов,Импорт,Экспорт,Валовое потребление ТЭР,Преобразование,Преобразование в тепловую и электрическую энергии,Переработка в другие виды топлива,Потребление в неэнергетическом секторе,Сырье для производства нетопливной продукции,Материалы на нетопливные нужды,Потери,Конечное потребление,Потребление в промышленности,горнодобывающая промышленность,обрабатывающая,"производство продуктов питания, напитков и табачных изделий","производство текстильных изделий, одежды, изделий из кожи и меха",производство изделий из дерева и бумаги; полиграфи-ческая деятельность и тиражирование записанных носителей информации,производство кокса и продуктов нефтепереработки,производство химических продуктов,"производство резиновых и пластмассовых изделий, прочих неметаллических минеральных продуктов","металлургическое производство, производство готовых металлических изделий, кроме машин и оборудования","производство машин и оборудования, не включенных в другие группировки",производство транспортных средств и оборудования,производство прочих готовых изделий,"снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",строительство,"Сельское, лесное и рыбное хозяйство",Транспорт,Сектор услуг,Жилищный сектор,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
2007.0,Электроэнергия (включая атомную и гидроэнергию),8913.0,1216.0,0.0,10129,0.0,0.0,0.0,0.0,0.0,0.0,1043.0,9086.0,,,,,,,,,,,,,,,,,,,1432.0,,1432.0,1432.0,0.0
2007.0,Теплоэнергия,12204.0,0.0,0.0,12204,0.0,0.0,0.0,0.0,0.0,0.0,1099.0,11105.0,,,,,,,,,,,,,,,,,,,3903.0,,3903.0,3903.0,0.0
2007.0,ТЭР- всего,56166.0,55378.0,22728.0,88816,47963.0,18646.0,29317.0,3979.0,3955.0,24.0,2983.0,33838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9936.0,,,,
2008.0,Нефть и газоконденсат,1896.0,30689.0,2078.0,30507,27547.0,1.0,27546.0,2428.0,2422.0,6.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2008.0,Газ горючий (природный и попутный),389.0,24220.0,0.0,24609,17979.0,17932.0,47.0,1551.0,1547.0,4.0,177.0,4902.0,,,,,,,,,,,,,,,,,,,1659.0,,1659.0,1659.0,0.0
2008.0,Уголь,24.0,39.0,0.0,63,27.0,27.0,0.0,10.0,0.0,10.0,0.0,26.0,,,,,,,,,,,,,,,,,,,4.0,,4.0,4.0,0.0
2008.0,Торф топливный,740.0,0.0,0.0,740,673.0,73.0,600.0,0.0,0.0,0.0,44.0,23.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,0.0
2008.0,Дрова,1386.0,0.0,0.0,1386,447.0,412.0,35.0,7.0,0.0,7.0,0.0,932.0,,,,,,,,,,,,,,,,,,,699.0,,699.0,699.0,0.0
2008.0,Прочие виды природного топлива,476.0,0.0,0.0,476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,,,,,,,,,,,,,,,,,,,79.0,,79.0,79.0,0.0
2008.0,Топливные брикеты,714.0,0.0,209.0,505,82.0,82.0,0.0,0.0,0.0,0.0,0.0,423.0,,,,,,,,,,,,,,,,,,,332.0,,332.0,332.0,0.0
2008.0,Автомобильный бензин,4853.0,12.0,3171.0,1694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1694.0,,,,,,,,,,,,,,,,,,,879.0,,879.0,879.0,0.0
2008.0,Дизельное топливо,9478.0,2687.0,5714.0,6451,2587.0,3.0,2584.0,1.0,0.0,1.0,0.0,3863.0,,,,,,,,,,,,,,,,,,,763.0,,763.0,763.0,0.0
2008.0,Топочный мазут,8058.0,41.0,6805.0,1294,686.0,686.0,0.0,7.0,4.0,3.0,1.0,600.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
2008.0,Сжиженный газ,811.0,46.0,433.0,424,0.0,0.0,0.0,1.0,1.0,0.0,2.0,421.0,,,,,,,,,,,,,,,,,,,313.0,,313.0,313.0,0.0
2008.0,Газ нефтепреработки,632.0,0.0,0.0,632,77.0,77.0,0.0,0.0,0.0,0.0,12.0,543.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
2008.0,"Кокс, коксик и коксовая мелочь",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2008.0,Топливо для реактивных двигателей,498.0,0.0,345.0,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
2008.0,Прочие виды продуктов переработки топлива,5820.0,81.0,5603.0,298,145.0,23.0,122.0,1.0,0.0,1.0,0.0,152.0,,,,,,,,,,,,,,,,,,,7.0,,7.0,7.0,0.0
2008.0,Электроэнергия (включая атомную и гидроэнергию),9813.0,671.0,156.0,10328,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,9288.0,,,,,,,,,,,,,,,,,,,1515.0,,1515.0,1515.0,0.0
2008.0,Теплоэнергия,11804.0,0.0,0.0,11804,0.0,0.0,0.0,0.0,0.0,0.0,1083.0,10721.0,,,,,,,,,,,,,,,,,,,3671.0,,3671.0,3671.0,0.0
2008.0,ТЭР- всего,57392.0,58486.0,24514.0,91364,50250.0,19316.0,30934.0,4006.0,3974.0,32.0,2891.0,34217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9922.0,,,,
2009.0,Нефть и газоконденсат,2668.0,30758.0,2454.0,30972,28230.0,1.0,28229.0,2279.0,2273.0,6.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2009.0,Газ горючий (природный и попутный),194.0,20260.0,0.0,20454,13963.0,13917.0,46.0,1593.0,1588.0,5.0,159.0,4739.0,,,,,,,,,,,,,,,,,,,1794.0,,1794.0,1794.0,0.0
2009.0,Уголь,8.0,57.0,0.0,65,25.0,25.0,0.0,12.0,0.0,12.0,0.0,28.0,,,,,,,,,,,,,,,,,,,2.0,,2.0,2.0,0.0
2009.0,Торф топливный,826.0,0.0,0.0,826,728.0,84.0,644.0,0.0,0.0,0.0,70.0,28.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,0.0
2009.0,Дрова,1408.0,0.0,0.0,1408,531.0,461.0,70.0,4.0,0.0,4.0,0.0,873.0,,,,,,,,,,,,,,,,,,,631.0,,631.0,631.0,0.0
2009.0,Прочие виды природного топлива,526.0,0.0,0.0,526,320.0,320.0,0.0,0.0,0.0,0.0,0.0,206.0,,,,,,,,,,,,,,,,,,,71.0,,71.0,71.0,0.0
2009.0,Топливные брикеты,773.0,0.0,295.0,478,86.0,86.0,0.0,0.0,0.0,0.0,0.0,392.0,,,,,,,,,,,,,,,,,,,295.0,,295.0,295.0,0.0
2009.0,Автомобильный бензин,4922.0,3.0,3294.0,1631,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1630.0,,,,,,,,,,,,,,,,,,,901.0,,901.0,901.0,0.0
2009.0,Дизельное топливо,9838.0,3167.0,6277.0,6728,3676.0,1.0,3675.0,1.0,0.0,1.0,0.0,3051.0,,,,,,,,,,,,,,,,,,,455.0,,455.0,455.0,0.0
2009.0,Топочный мазут,8570.0,359.0,5283.0,3646,3055.0,3055.0,0.0,4.0,3.0,1.0,1.0,586.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
2009.0,Сжиженный газ,691.0,39.0,361.0,369,0.0,0.0,0.0,0.0,0.0,0.0,2.0,367.0,,,,,,,,,,,,,,,,,,,281.0,,281.0,281.0,0.0
2009.0,Газ нефтепреработки,605.0,0.0,0.0,605,74.0,74.0,0.0,0.0,0.0,0.0,8.0,523.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
2009.0,"Кокс, коксик и коксовая мелочь",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2009.0,Топливо для реактивных двигателей,593.0,0.0,475.0,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
2009.0,Прочие виды продуктов переработки топлива,6960.0,70.0,6736.0,294,145.0,20.0,125.0,2.0,1.0,1.0,0.0,147.0,,,,,,,,,,,,,,,,,,,8.0,,8.0,8.0,0.0
2009.0,Электроэнергия (включая атомную и гидроэнергию),8505.0,1254.0,2.0,9757,0.0,0.0,0.0,0.0,0.0,0.0,976.0,8781.0,,,,,,,,,,,,,,,,,,,1555.0,,1555.0,1555.0,0.0
2009.0,Теплоэнергия,11859.0,0.0,0.0,11859,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,10832.0,,,,,,,,,,,,,,,,,,,3862.0,,3862.0,3862.0,0.0
2009.0,ТЭР- всего,58946.0,55967.0,25177.0,89736,50834.0,18044.0,32790.0,3895.0,3865.0,30.0,2706.0,32301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9856.0,,,,
2010.0,Нефть и газоконденсат,2517.0,21077.0,0.0,23594,23253.0,1.0,23252.0,4.0,0.0,4.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2010.0,Газ горючий (природный и попутный),442.0,24708.0,0.0,25150,18237.0,18153.0,84.0,1662.0,1657.0,5.0,153.0,5098.0,2482.0,40.0,2430.0,125.0,52.0,21.0,320.0,239.0,1359.0,180.0,83.0,31.0,20.0,12.0,35.0,105.0,438.0,24.0,2014.0,,5110.0,5098.0,0.0
